,O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
34,11-1011.00,Chief Executives,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
60,11-1011.03,Chief Sustainability Officers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
106,11-1021.00,General and Operations Managers,Geographic information system GIS software,43232510,Geographic information system,Y
151,11-1021.00,General and Operations Managers,Microsoft Visio,43231518,Process mapping and design software,Y
200,11-1021.00,General and Operations Managers,Splunk Enterprise,43232806,Cloud-based management software,Y
236,11-1031.00,Legislators,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
298,11-2011.00,Advertising and Promotions Managers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
411,11-2021.00,Marketing Managers,Microsoft Visio,43231518,Process mapping and design software,Y
455,11-2021.00,Marketing Managers,Splunk Enterprise,43232806,Cloud-based management software,Y
487,11-2022.00,Sales Managers,Geographic information system GIS software,43232510,Geographic information system,Y
524,11-2022.00,Sales Managers,Microsoft Visio,43231518,Process mapping and design software,Y
560,11-2022.00,Sales Managers,Splunk Enterprise,43232806,Cloud-based management software,Y
733,11-3012.00,Administrative Services Managers,Microsoft Visio,43231518,Process mapping and design software,Y
783,11-3013.00,Facilities Managers,Microsoft Visio,43231518,Process mapping and design software,Y
819,11-3013.01,Security Managers,Microsoft Visio,43231518,Process mapping and design software,Y
859,11-3021.00,Computer and Information Systems Managers,Cisco Systems WAN Manager,43232917,Software defined networking/ virtualization software,N
920,11-3021.00,Computer and Information Systems Managers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
923,11-3021.00,Computer and Information Systems Managers,Microsoft Visio,43231518,Process mapping and design software,Y
984,11-3021.00,Computer and Information Systems Managers,SolarWinds,43233206,Cloud-based protection or security software,N
1035,11-3031.00,Financial Managers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
1037,11-3031.00,Financial Managers,Microsoft Visio,43231518,Process mapping and design software,Y
1128,11-3031.03,Investment Fund Managers,Microsoft Visio,43231518,Process mapping and design software,Y
1222,11-3051.01,Quality Control Systems Managers,MasterControl software,43232620,Risk management data and analysis software,N
1230,11-3051.01,Quality Control Systems Managers,Microsoft Visio,43231518,Process mapping and design software,Y
1322,11-3061.00,Purchasing Managers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
1323,11-3061.00,Purchasing Managers,Microsoft Visio,43231518,Process mapping and design software,Y
1364,11-3071.00,"Transportation, Storage, and Distribution Managers",ESRI ArcLogistics,43232510,Geographic information system,N
1410,11-3071.00,"Transportation, Storage, and Distribution Managers",Microsoft Visio,43231518,Process mapping and design software,Y
1482,11-3071.04,Supply Chain Managers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
1484,11-3071.04,Supply Chain Managers,Microsoft Visio,43231518,Process mapping and design software,Y
1559,11-3111.00,Compensation and Benefits Managers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
1561,11-3111.00,Compensation and Benefits Managers,Microsoft Visio,43231518,Process mapping and design software,Y
1646,11-3121.00,Human Resources Managers,Microsoft Visio,43231518,Process mapping and design software,Y
1803,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Atlassian Confluence,43233513,Cloud-based data access and sharing software,N
1839,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Microsoft Visio,43231518,Process mapping and design software,Y
1910,11-9021.00,Construction Managers,Microsoft Visio,43231518,Process mapping and design software,Y
2056,11-9033.00,"Education Administrators, Postsecondary",Microsoft Visio,43231518,Process mapping and design software,Y
2157,11-9041.00,Architectural and Engineering Managers,Microsoft Visio,43231518,Process mapping and design software,Y
2194,11-9041.00,Architectural and Engineering Managers,Splunk Enterprise,43232806,Cloud-based management software,Y
2233,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Microsoft Visio,43231518,Process mapping and design software,Y
2264,11-9051.00,Food Service Managers,Google Drive,43233513,Cloud-based data access and sharing software,Y
2336,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Microsoft Visio,43231518,Process mapping and design software,Y
2426,11-9111.00,Medical and Health Services Managers,Geographic information system GIS software,43232510,Geographic information system,Y
2468,11-9111.00,Medical and Health Services Managers,Microsoft Visio,43231518,Process mapping and design software,Y
2513,11-9121.00,Natural Sciences Managers,ESRI ArcGIS software,43232510,Geographic information system,Y
2525,11-9121.00,Natural Sciences Managers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
2526,11-9121.00,Natural Sciences Managers,Microsoft Visio,43231518,Process mapping and design software,Y
